"Sample Name","CT","Delta Rn","Tm1","Tm2","Tm3","Tm4","Annealing_temperature(?C)","Primer_concentration_(uM)","Primer_volume","Primer_name","Sample_volume","Additional_comments","Well Position","filename","run_endtime","Well","Omit","Target Name","Task","Reporter","Quencher","Ct Mean","Ct SD","Quantity","Quantity Mean","Quantity SD","Y-Intercept","R(superscript 2)","Slope","Efficiency","Automatic Ct Threshold","Ct Threshold","Automatic Baseline","Baseline Start","Baseline End","Amp Status","Comments","Cq Conf","CQCONF","HIGHSD","MTP"
"782","32.9141616821289","1.94768524169922","82.2170333862305","91.6186981201172","","","55","10","0.5","16SNEST","4.4","sentino","D8","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","44","FALSE","Target 1","UNKNOWN","SYBR","None","33.329662322998","0.650416016578674","","","","","","","","TRUE","0.128277170156783","TRUE","3","27","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.975028755167346","N","Y","Y"
"782","34.0792236328125","1.89698898792267","83.1099548339844","","","","55","10","0.5","16SNEST","4.4","sentino","D9","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","45","FALSE","Target 1","UNKNOWN","SYBR","None","33.329662322998","0.650416016578674","","","","","","","","TRUE","0.128277170156783","TRUE","3","29","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.88687618906166","N","Y","N"
"783","38.8498191833496","0.304465234279633","83.219970703125","","","","55","10","0.5","16SNEST","4.4","sentino","D10","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","46","FALSE","Target 1","UNKNOWN","SYBR","None","38.5637168884277","0.435214519500732","","","","","","","","TRUE","0.128277170156783","TRUE","3","33","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.693693664481525","Y","N","N"
"783","38.7784576416016","0.267302572727203","83.1758728027344","","","","55","10","0.5","16SNEST","4.4","sentino","D11","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","47","FALSE","Target 1","UNKNOWN","SYBR","None","38.5637168884277","0.435214519500732","","","","","","","","TRUE","0.128277170156783","TRUE","3","33","No Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.900758900235608","N","N","N"
"783","38.0628623962402","0.427275687456131","83.2857131958008","","","","55","10","0.5","16SNEST","4.4","sentino","D12","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","48","FALSE","Target 1","UNKNOWN","SYBR","None","38.5637168884277","0.435214519500732","","","","","","","","TRUE","0.128277170156783","TRUE","3","33","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.844479202602487","N","N","N"
"784_WC","33.5656585693359","2.1491060256958","83.5921783447266","79.7507019042969","61.7506256103516","74.5372619628906","55","10","0.5","16SNEST","4.4","control_sentino","E1","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","49","FALSE","Target 1","UNKNOWN","SYBR","None","35.3536949157715","1.7146782875061","","","","","","","","TRUE","0.128277170156783","TRUE","3","29","Amp","55, 10, 0.5, 16SNEST, 4.4, control_sentino","0.936425811600925","N","Y","Y"
"784_WC","36.9841346740723","2.4524929523468","85.7324371337891","90.0678176879883","","","55","10","0.5","16SNEST","4.4","control_sentino","E2","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","50","FALSE","Target 1","UNKNOWN","SYBR","None","35.3536949157715","1.7146782875061","","","","","","","","TRUE","0.128277170156783","TRUE","3","32","Amp","55, 10, 0.5, 16SNEST, 4.4, control_sentino","0.936788861297269","N","Y","Y"
"784_WC","35.511287689209","2.11123418807983","83.8150787353516","68.6930313110352","","","55","10","0.5","16SNEST","4.4","control_sentino","E3","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","51","FALSE","Target 1","UNKNOWN","SYBR","None","35.3536949157715","1.7146782875061","","","","","","","","TRUE","0.128277170156783","TRUE","3","31","Amp","55, 10, 0.5, 16SNEST, 4.4, control_sentino","0.854173492841019","N","Y","Y"
"785","32.8336601257324","1.89262592792511","80.1857833862305","88.5441589355469","","","55","10","0.5","16SNEST","4.4","sentino","E4","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","52","FALSE","Target 1","UNKNOWN","SYBR","None","33.1515007019043","0.319191873073578","","","","","","","","TRUE","0.128277170156783","TRUE","3","29","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.863607740275981","N","N","Y"
"785","33.1488037109375","1.76173508167267","80.8808670043945","","","","55","10","0.5","16SNEST","4.4","sentino","E5","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","53","FALSE","Target 1","UNKNOWN","SYBR","None","33.1515007019043","0.319191873073578","","","","","","","","TRUE","0.128277170156783","TRUE","3","29","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.758975730489846","Y","N","N"
"785","33.4720268249512","2.02719569206238","80.9358139038086","85.3864593505859","","","55","10","0.5","16SNEST","4.4","sentino","E6","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","54","FALSE","Target 1","UNKNOWN","SYBR","None","33.1515007019043","0.319191873073578","","","","","","","","TRUE","0.128277170156783","TRUE","3","29","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.955618761483451","N","N","Y"
"786","36.2839012145996","1.01853549480438","83.3716278076172","93.488037109375","62.643985748291","","55","10","0.5","16SNEST","4.4","sentino","E7","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","55","FALSE","Target 1","UNKNOWN","SYBR","None","36.5714302062988","1.34404027462006","","","","","","","","TRUE","0.128277170156783","TRUE","3","31","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.89455299942906","N","Y","Y"
"786","38.0359687805176","1.21268749237061","85.1859817504883","91.013916015625","78.9182052612305","57.5857849121094","55","10","0.5","16SNEST","4.4","sentino","E8","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","56","FALSE","Target 1","UNKNOWN","SYBR","None","36.5714302062988","1.34404027462006","","","","","","","","TRUE","0.128277170156783","TRUE","3","33","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.897186384147886","N","Y","Y"
"786","35.3944244384766","0.974539279937744","82.3948593139648","78.8744049072266","58.9068069458008","93.7263336181641","55","10","0.5","16SNEST","4.4","sentino","E9","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","57","FALSE","Target 1","UNKNOWN","SYBR","None","36.5714302062988","1.34404027462006","","","","","","","","TRUE","0.128277170156783","TRUE","3","31","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.969458845885785","N","Y","Y"
"787","35.3059883117676","1.50342774391174","85.805305480957","72.4385681152344","64.1874923706055","90.7009429931641","55","10","0.5","16SNEST","4.4","sentino","E10","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","58","FALSE","Target 1","UNKNOWN","SYBR","None","34.9897117614746","0.608396291732788","","","","","","","","TRUE","0.128277170156783","TRUE","3","30","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.902351812909926","N","Y","Y"
"787","35.3748207092285","1.57924652099609","83.8349151611328","79.7708206176758","57.3633728027344","90.1507415771484","55","10","0.5","16SNEST","4.4","sentino","E11","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","59","FALSE","Target 1","UNKNOWN","SYBR","None","34.9897117614746","0.608396291732788","","","","","","","","TRUE","0.128277170156783","TRUE","3","30","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.975512624285104","N","Y","Y"
"787","34.2883186340332","1.57406616210938","84.9882431030273","66.7547302246094","68.1826553344727","93.3910369873047","55","10","0.5","16SNEST","4.4","sentino","E12","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","60","FALSE","Target 1","UNKNOWN","SYBR","None","34.9897117614746","0.608396291732788","","","","","","","","TRUE","0.128277170156783","TRUE","3","29","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.921376913131982","N","Y","Y"
"788_WC","33.9478721618652","1.35723662376404","80.9031448364258","","","","55","10","0.5","16SNEST","4.4","control_sentino","F1","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","61","FALSE","Target 1","UNKNOWN","SYBR","None","33.3030662536621","1.02264165878296","","","","","","","","TRUE","0.128277170156783","TRUE","3","29","Amp","55, 10, 0.5, 16SNEST, 4.4, control_sentino","0.969335790751226","N","Y","N"
"788_WC","33.8373756408691","1.29140830039978","81.1226577758789","","","","55","10","0.5","16SNEST","4.4","control_sentino","F2","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","62","FALSE","Target 1","UNKNOWN","SYBR","None","33.3030662536621","1.02264165878296","","","","","","","","TRUE","0.128277170156783","TRUE","3","29","Amp","55, 10, 0.5, 16SNEST, 4.4, control_sentino","0.959706009730022","N","Y","N"
"788_WC","32.1239433288574","1.27706098556519","83.4851379394531","56.7603607177734","75.4567108154297","86.2895965576172","55","10","0.5","16SNEST","4.4","control_sentino","F3","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","63","FALSE","Target 1","UNKNOWN","SYBR","None","33.3030662536621","1.02264165878296","","","","","","","","TRUE","0.128277170156783","TRUE","3","28","Amp","55, 10, 0.5, 16SNEST, 4.4, control_sentino","0.959722847795713","N","Y","Y"
"798","35.2947540283203","2.69881677627563","84.1450119018555","","","","55","10","0.5","16SNEST","4.4","sentino","F4","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","64","FALSE","Target 1","UNKNOWN","SYBR","None","36.7151298522949","2.89471888542175","","","","","","","","TRUE","0.128277170156783","TRUE","3","31","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.908955099357611","N","Y","N"
"798","34.8049583435059","2.7613308429718","84.2325820922852","91.3206481933594","","","55","10","0.5","16SNEST","4.4","sentino","F5","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","65","FALSE","Target 1","UNKNOWN","SYBR","None","36.7151298522949","2.89471888542175","","","","","","","","TRUE","0.128277170156783","TRUE","3","30","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.909767028010255","N","Y","Y"
"798","40.0456809997559","2.83672857284546","84.6172027587891","","","","55","10","0.5","16SNEST","4.4","sentino","F6","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","66","FALSE","Target 1","UNKNOWN","SYBR","None","36.7151298522949","2.89471888542175","","","","","","","","TRUE","0.128277170156783","TRUE","3","36","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.927084088853552","N","Y","N"
"799","33.7741432189941","2.36683106422424","83.5915451049805","66.9874420166016","74.0249481201172","63.5786552429199","55","10","0.5","16SNEST","4.4","sentino","F7","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","67","FALSE","Target 1","UNKNOWN","SYBR","None","34.6830177307129","0.791682362556458","","","","","","","","TRUE","0.128277170156783","TRUE","3","30","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.94235384364482","N","Y","Y"
"799","35.2224082946777","2.43864917755127","83.9214324951172","88.0999450683594","59.0152740478516","91.1238708496094","55","10","0.5","16SNEST","4.4","sentino","F8","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","68","FALSE","Target 1","UNKNOWN","SYBR","None","34.6830177307129","0.791682362556458","","","","","","","","TRUE","0.128277170156783","TRUE","3","30","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.947482772303171","N","Y","Y"
"799","35.0525131225586","2.4310085773468","83.93505859375","91.6910705566406","89.1607360839844","79.3694686889648","55","10","0.5","16SNEST","4.4","sentino","F9","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","69","FALSE","Target 1","UNKNOWN","SYBR","None","34.6830177307129","0.791682362556458","","","","","","","","TRUE","0.128277170156783","TRUE","3","31","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.938565311703226","N","Y","Y"
"800","33.4996795654297","2.0176522731781","83.9900665283203","79.3694686889648","88.7206878662109","68.6430740356445","55","10","0.5","16SNEST","4.4","sentino","F10","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","70","FALSE","Target 1","UNKNOWN","SYBR","None","34.1496963500977","0.799261510372162","","","","","","","","TRUE","0.128277170156783","TRUE","3","28","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.968532265454955","N","Y","Y"
"800","35.0420913696289","2.18946170806885","82.1323928833008","89.2720184326172","66.1506042480469","68.4023361206055","55","10","0.5","16SNEST","4.4","sentino","F11","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","71","FALSE","Target 1","UNKNOWN","SYBR","None","34.1496963500977","0.799261510372162","","","","","","","","TRUE","0.128277170156783","TRUE","3","31","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.966098944933722","N","Y","Y"
"800","33.9073181152344","2.04668259620667","79.7159042358398","87.4596557617188","83.9996795654297","70.3794631958008","55","10","0.5","16SNEST","4.4","sentino","F12","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","72","FALSE","Target 1","UNKNOWN","SYBR","None","34.1496963500977","0.799261510372162","","","","","","","","TRUE","0.128277170156783","TRUE","3","29","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.886394571104412","N","Y","Y"
"801_WC","35.0483207702637","2.25538396835327","82.4946136474609","90.2873306274414","59.1164703369141","88.0373229980469","55","10","0.5","16SNEST","4.4","control_sentino","G1","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","73","FALSE","Target 1","UNKNOWN","SYBR","None","35.1954956054688","0.165181875228882","","","","","","","","TRUE","0.128277170156783","TRUE","3","30","Amp","55, 10, 0.5, 16SNEST, 4.4, control_sentino","0.941142638155274","N","N","Y"
"801_WC","35.1640129089355","2.27091503143311","83.3177871704102","86.6104888916016","79.8055801391602","60.6530609130859","55","10","0.5","16SNEST","4.4","control_sentino","G2","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","74","FALSE","Target 1","UNKNOWN","SYBR","None","35.1954956054688","0.165181875228882","","","","","","","","TRUE","0.128277170156783","TRUE","3","31","Amp","55, 10, 0.5, 16SNEST, 4.4, control_sentino","0.939327678202318","N","N","Y"
"801_WC","35.374153137207","2.22199845314026","80.0208129882812","83.7600860595703","88.4341735839844","68.2531127929688","55","10","0.5","16SNEST","4.4","control_sentino","G3","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","75","FALSE","Target 1","UNKNOWN","SYBR","None","35.1954956054688","0.165181875228882","","","","","","","","TRUE","0.128277170156783","TRUE","3","31","Amp","55, 10, 0.5, 16SNEST, 4.4, control_sentino","0.943765617136953","N","N","Y"
"681_BC","36.0327682495117","1.35963475704193","84.5849304199219","80.5707092285156","64.1839065551758","","55","10","0.5","16SNEST","4.4","control_bleach_sentino","G4","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","76","FALSE","Target 1","UNKNOWN","SYBR","None","36.2345085144043","0.296667397022247","","","","","","","","TRUE","0.128277170156783","TRUE","3","30","Amp","55, 10, 0.5, 16SNEST, 4.4, control_bleach_sentino","0.836201812397078","N","N","Y"
"681_BC","36.5751457214355","1.40420436859131","80.8259201049805","","","","55","10","0.5","16SNEST","4.4","control_bleach_sentino","G5","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","77","FALSE","Target 1","UNKNOWN","SYBR","None","36.2345085144043","0.296667397022247","","","","","","","","TRUE","0.128277170156783","TRUE","3","32","Amp","55, 10, 0.5, 16SNEST, 4.4, control_bleach_sentino","0.916329975977499","N","N","N"
"681_BC","36.0956192016602","1.42017340660095","80.8808670043945","","","","55","10","0.5","16SNEST","4.4","control_bleach_sentino","G6","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","78","FALSE","Target 1","UNKNOWN","SYBR","None","36.2345085144043","0.296667397022247","","","","","","","","TRUE","0.128277170156783","TRUE","3","30","Amp","55, 10, 0.5, 16SNEST, 4.4, control_bleach_sentino","0.949906897132944","N","N","N"
"758_BC","36.362247467041","2.19137001037598","84.3062896728516","","","","55","10","0.5","16SNEST","4.4","control_bleach_sentino","G7","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","79","FALSE","Target 1","UNKNOWN","SYBR","None","35.8941764831543","0.75665283203125","","","","","","","","TRUE","0.128277170156783","TRUE","3","32","Amp","55, 10, 0.5, 16SNEST, 4.4, control_bleach_sentino","0.936874731622086","N","Y","N"
"758_BC","36.2990455627441","2.16306638717651","83.5915451049805","","","","55","10","0.5","16SNEST","4.4","control_bleach_sentino","G8","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","80","FALSE","Target 1","UNKNOWN","SYBR","None","35.8941764831543","0.75665283203125","","","","","","","","TRUE","0.128277170156783","TRUE","3","32","Amp","55, 10, 0.5, 16SNEST, 4.4, control_bleach_sentino","0.921553935268242","N","Y","N"
"758_BC","35.0212287902832","2.14063549041748","84.5951461791992","79.7545166015625","","","55","10","0.5","16SNEST","4.4","control_bleach_sentino","G9","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","81","FALSE","Target 1","UNKNOWN","SYBR","None","35.8941764831543","0.75665283203125","","","","","","","","TRUE","0.128277170156783","TRUE","3","30","Amp","55, 10, 0.5, 16SNEST, 4.4, control_bleach_sentino","0.934022534987774","N","Y","Y"
"789_BC","37.3967628479004","1.92457616329193","83.8800506591797","89.7108154296875","","","55","10","0.5","16SNEST","4.4","control_bleach_sentino","G10","2022-10-24_fieldtrip2_16SNEST_plate3","2022-10-24 17:54:25 PM AWST","82","FALSE","Target 1","UNKNOWN","SYBR","None","36.2721061706543","1.40301096439362","","","","","","","","TRUE","0.128277170156783","TRUE","3","32","Amp","55, 10, 0.5, 16SNEST, 4.4, control_bleach_sentino","0.972954676893817","N","Y","Y"
