"Sample Name","CT","Delta Rn","Tm1","Tm2","Tm3","Tm4","Annealing_temperature(?C)","Primer_concentration_(uM)","Primer_volume","Primer_name","Sample_volume","Additional_comments","Well Position","filename","run_endtime","Well","Omit","Target Name","Task","Reporter","Quencher","Ct Mean","Ct SD","Quantity","Quantity Mean","Quantity SD","Y-Intercept","R(superscript 2)","Slope","Efficiency","Automatic Ct Threshold","Ct Threshold","Automatic Baseline","Baseline Start","Baseline End","Amp Status","Comments","Cq Conf","MTP","HIGHSD","OUTLIERRG"
"772_WC","30.666109085083","2.31298804283142","83.1979675292969","","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","D2","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","38","FALSE","Target 1","UNKNOWN","SYBR","None","32.4222297668457","2.26754975318909","","","","","","","","TRUE","0.135016590886038","TRUE","3","26","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.977362332610578","N","Y","N"
"772_WC","34.9821968078613","2.3768298625946","83.0847549438477","","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","D3","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","39","FALSE","Target 1","UNKNOWN","SYBR","None","32.4222297668457","2.26754975318909","","","","","","","","TRUE","0.135016590886038","TRUE","3","30","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.975164369534451","N","Y","N"
"781","34.4776000976562","2.24004530906677","81.8754730224609","","","","65","10","0.5","Lutjanidae1","4.4","sentino","D4","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","40","FALSE","Target 1","UNKNOWN","SYBR","None","36.5475730895996","3.82398390769958","","","","","","","","TRUE","0.135016590886038","TRUE","3","29","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.972433672468113","N","Y","N"
"781","34.2047996520996","2.19953012466431","83.0103912353516","","","","65","10","0.5","Lutjanidae1","4.4","sentino","D5","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","41","FALSE","Target 1","UNKNOWN","SYBR","None","36.5475730895996","3.82398390769958","","","","","","","","TRUE","0.135016590886038","TRUE","3","29","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.956295080637055","N","Y","N"
"781","40.960319519043","2.01276350021362","81.9122161865234","","","","65","10","0.5","Lutjanidae1","4.4","sentino","D6","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","42","FALSE","Target 1","UNKNOWN","SYBR","None","36.5475730895996","3.82398390769958","","","","","","","","TRUE","0.135016590886038","TRUE","3","36","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.958017707251656","N","Y","N"
"782","34.901294708252","2.84487628936768","82.3092803955078","","","","65","10","0.5","Lutjanidae1","4.4","sentino","D7","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","43","FALSE","Target 1","UNKNOWN","SYBR","None","34.5970306396484","1.40905213356018","","","","","","","","TRUE","0.135016590886038","TRUE","3","30","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.953302839275007","N","Y","N"
"782","33.0607070922852","2.31228828430176","82.1993789672852","","","","65","10","0.5","Lutjanidae1","4.4","sentino","D8","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","44","FALSE","Target 1","UNKNOWN","SYBR","None","34.5970306396484","1.40905213356018","","","","","","","","TRUE","0.135016590886038","TRUE","3","28","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.970975139045999","N","Y","N"
"782","35.8290977478027","2.70928382873535","82.2724075317383","","","","65","10","0.5","Lutjanidae1","4.4","sentino","D9","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","45","FALSE","Target 1","UNKNOWN","SYBR","None","34.5970306396484","1.40905213356018","","","","","","","","TRUE","0.135016590886038","TRUE","3","31","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.967633746793282","N","Y","N"
"783","39.7108497619629","0.684788763523102","82.1073760986328","","","","65","10","0.5","Lutjanidae1","4.4","sentino","D10","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","46","FALSE","Target 1","UNKNOWN","SYBR","None","39.7048988342285","1.17684733867645","","","","","","","","TRUE","0.135016590886038","TRUE","3","33","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.963289153739237","N","Y","N"
"783","40.8787612915039","0.558151543140411","81.7359466552734","","","","65","10","0.5","Lutjanidae1","4.4","sentino","D11","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","47","FALSE","Target 1","UNKNOWN","SYBR","None","39.7048988342285","1.17684733867645","","","","","","","","TRUE","0.135016590886038","TRUE","3","34","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.876660696157607","N","Y","N"
"783","38.525089263916","0.67375260591507","82.3943939208984","","","","65","10","0.5","Lutjanidae1","4.4","sentino","D12","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","48","FALSE","Target 1","UNKNOWN","SYBR","None","39.7048988342285","1.17684733867645","","","","","","","","TRUE","0.135016590886038","TRUE","3","34","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.896209545524275","N","Y","N"
"784_WC","29.2834587097168","2.31263589859009","82.7046432495117","","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","E1","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","49","FALSE","Target 1","UNKNOWN","SYBR","None","31.8509769439697","2.23011994361877","","","","","","","","TRUE","0.135016590886038","TRUE","3","23","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.953078160584586","N","Y","N"
"784_WC","32.9635047912598","2.30937194824219","81.3891143798828","","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","E2","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","50","FALSE","Target 1","UNKNOWN","SYBR","None","31.8509769439697","2.23011994361877","","","","","","","","TRUE","0.135016590886038","TRUE","3","27","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.986594527156738","N","Y","N"
