"Sample Name","CT","Delta Rn","Tm1","Tm2","Tm3","Tm4","Annealing_temperature(?C)","Primer_concentration_(uM)","Primer_volume","Primer_name","Sample_volume","Additional_comments","Well Position","filename","run_endtime","Well","Omit","Target Name","Task","Reporter","Quencher","Ct Mean","Ct SD","Quantity","Quantity Mean","Quantity SD","Y-Intercept","R(superscript 2)","Slope","Efficiency","Automatic Ct Threshold","Ct Threshold","Automatic Baseline","Baseline Start","Baseline End","Amp Status","Comments","Cq Conf","CQCONF","EXPFAIL","HIGHSD","MTP","NOAMP","OUTLIERRG"
"764_WC","Undetermined","-0.0101244701072574","55.0004005432129","","","","55","10","0.5","16S","4.4","control_sentino","B2","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","14","FALSE","Target 1","UNKNOWN","SYBR","None","","","","","","","","","","TRUE","0.164306873824341","TRUE","3","49","No Amp","55, 10, 0.5, 16S, 4.4, control_sentino","0","Y","Y","N","N","N","N"
"764_WC","Undetermined","-0.00401209341362119","55.0004997253418","","","","55","10","0.5","16S","4.4","control_sentino","B3","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","15","FALSE","Target 1","UNKNOWN","SYBR","None","","","","","","","","","","TRUE","0.164306873824341","TRUE","3","49","No Amp","55, 10, 0.5, 16S, 4.4, control_sentino","0","Y","Y","N","N","N","N"
"765","42.3623847961426","1.12392044067383","83.1712799072266","","","","55","10","0.5","16S","4.4","sentino","B4","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","16","FALSE","Target 1","UNKNOWN","SYBR","None","40.2865905761719","2.93561363220215","","","","","","","","TRUE","0.164306873824341","TRUE","3","36","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.916593451443962","N","N","Y","N","N","N"
"765","Undetermined","-0.00805000308901072","55.0009994506836","","","","55","10","0.5","16S","4.4","sentino","B5","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","17","FALSE","Target 1","UNKNOWN","SYBR","None","40.2865905761719","2.93561363220215","","","","","","","","TRUE","0.164306873824341","TRUE","3","49","No Amp","55, 10, 0.5, 16S, 4.4, sentino","0","Y","Y","N","N","N","N"
"765","38.2108001708984","1.97352933883667","84.6361618041992","83.4332580566406","87.5887451171875","66.3739013671875","55","10","0.5","16S","4.4","sentino","B6","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","18","FALSE","Target 1","UNKNOWN","SYBR","None","40.2865905761719","2.93561363220215","","","","","","","","TRUE","0.164306873824341","TRUE","3","32","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.950677557411604","N","N","Y","Y","N","N"
"766","Undetermined","-0.00587668968364596","55.0004997253418","","","","55","10","0.5","16S","4.4","sentino","B7","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","19","FALSE","Target 1","UNKNOWN","SYBR","None","40.0036087036133","1.62205624580383","","","","","","","","TRUE","0.164306873824341","TRUE","3","49","No Amp","55, 10, 0.5, 16S, 4.4, sentino","0","Y","Y","N","N","N","N"
"766","38.8566436767578","2.23510551452637","87.4270553588867","82.7790679931641","","","55","10","0.5","16S","4.4","sentino","B8","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","20","FALSE","Target 1","UNKNOWN","SYBR","None","40.0036087036133","1.62205624580383","","","","","","","","TRUE","0.164306873824341","TRUE","3","32","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.949351970254011","N","N","Y","Y","N","N"
"766","41.150577545166","2.14372754096985","87.49609375","83.9948806762695","","","55","10","0.5","16S","4.4","sentino","B9","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","21","FALSE","Target 1","UNKNOWN","SYBR","None","40.0036087036133","1.62205624580383","","","","","","","","TRUE","0.164306873824341","TRUE","3","36","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.960865841945475","N","N","Y","Y","N","N"
"767","40.8584594726562","2.04600119590759","83.8307571411133","","","","55","10","0.5","16S","4.4","sentino","B10","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","22","FALSE","Target 1","UNKNOWN","SYBR","None","43.7636413574219","5.27114677429199","","","","","","","","TRUE","0.164306873824341","TRUE","3","36","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.983816982690489","N","N","Y","N","N","N"
"767","40.584285736084","2.26150059700012","83.7541046142578","","","","55","10","0.5","16S","4.4","sentino","B11","2022-10-14_fieldtrip2_16S_plate3","2022-10-14 18:16:32 PM AWST","23","FALSE","Target 1","UNKNOWN","SYBR","None","43.7636413574219","5.27114677429199","","","","","","","","TRUE","0.164306873824341","TRUE","3","33","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.985605015020835","N","N","Y","N","N","N"
