"pool_group","count","mean.delta_rn","min.delta_rn","max.delta_rn","std_dev.delta_rn","pool_vol","totalpoolvol"
1,46,0.146758828175075,-0.114895368926227,0.495539143681526,0.194611673263812,4.8,92
2,49,0.88527770272019,0.562573495010536,1.10972702503204,0.163453654294369,4.1,98
3,71,1.45778813133532,1.15761833793173,1.72234344482422,0.158783457233314,2.5,142
4,110,2.08687259717421,1.72723507881165,2.33659768104553,0.167322679374299,1.7,220
5,76,2.5325636037609,2.34289407730103,2.95067397753398,0.150957140326719,1.4,152
