"Sample Name","CT","Delta Rn","Tm1","Tm2","Tm3","Tm4","Annealing_temperature(?C)","Primer_concentration_(uM)","Primer_volume","Primer_name","Sample_volume","Additional_comments","Well Position","filename","run_endtime","Well","Omit","Target Name","Task","Reporter","Quencher","Ct Mean","Ct SD","Quantity","Quantity Mean","Quantity SD","Y-Intercept","R(superscript 2)","Slope","Efficiency","Automatic Ct Threshold","Ct Threshold","Automatic Baseline","Baseline Start","Baseline End","Amp Status","Comments","Cq Conf","CQCONF","EXPFAIL","HIGHSD","OUTLIERRG","MTP","NOAMP"
"717_WC","Undetermined","0.00304743042215705","59.399341583252","","","","55","10","0.5","16S","4.4","control_sentino","B2","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","14","FALSE","Target 1","UNKNOWN","SYBR","None","47.5263366699219","","","","","","","","","TRUE","0.0996861420622498","TRUE","3","49","No Amp","55, 10, 0.5, 16S, 4.4, control_sentino","0","Y","Y","N","N","N","N"
"717_WC","Undetermined","0.0156490914523602","55.0010986328125","","","","55","10","0.5","16S","4.4","control_sentino","B3","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","15","FALSE","Target 1","UNKNOWN","SYBR","None","47.5263366699219","","","","","","","","","TRUE","0.0996861420622498","TRUE","3","49","No Amp","55, 10, 0.5, 16S, 4.4, control_sentino","0","Y","Y","N","N","N","N"
"718","38.9099464416504","2.31009364128113","83.8771820068359","","","","55","10","0.5","16S","4.4","sentino","B4","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","16","FALSE","Target 1","UNKNOWN","SYBR","None","38.8227882385254","0.419442683458328","","","","","","","","TRUE","0.0996861420622498","TRUE","3","33","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.949226449726339","N","N","N","N","N","N"
"718","39.1918106079102","2.41698670387268","82.9827117919922","","","","55","10","0.5","16S","4.4","sentino","B5","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","17","FALSE","Target 1","UNKNOWN","SYBR","None","38.8227882385254","0.419442683458328","","","","","","","","TRUE","0.0996861420622498","TRUE","3","35","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.924006706010477","N","N","N","N","N","N"
"718","38.3666191101074","2.61784744262695","82.3779907226562","84.9068145751953","","","55","10","0.5","16S","4.4","sentino","B6","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","18","FALSE","Target 1","UNKNOWN","SYBR","None","38.8227882385254","0.419442683458328","","","","","","","","TRUE","0.0996861420622498","TRUE","3","34","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.969011944638584","N","N","N","N","Y","N"
"719","47.3388252258301","0.228451997041702","83.7021484375","","","","55","10","0.5","16S","4.4","sentino","B7","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","19","FALSE","Target 1","UNKNOWN","SYBR","None","45.9122467041016","1.25306606292725","","","","","","","","TRUE","0.0996861420622498","TRUE","3","40","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.775152247496","Y","N","Y","N","N","N"
"719","44.9895973205566","0.416462242603302","83.317253112793","","","","55","10","0.5","16S","4.4","sentino","B8","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","20","FALSE","Target 1","UNKNOWN","SYBR","None","45.9122467041016","1.25306606292725","","","","","","","","TRUE","0.0996861420622498","TRUE","3","39","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.724652147377787","Y","N","Y","N","N","N"
"719","45.4083213806152","0.41052183508873","83.3830261230469","","","","55","10","0.5","16S","4.4","sentino","B9","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","21","FALSE","Target 1","UNKNOWN","SYBR","None","45.9122467041016","1.25306606292725","","","","","","","","TRUE","0.0996861420622498","TRUE","3","40","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.865680784711277","N","N","Y","N","N","N"
"720","39.1156692504883","2.35938787460327","83.7130508422852","","","","55","10","0.5","16S","4.4","sentino","B10","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","22","FALSE","Target 1","UNKNOWN","SYBR","None","41.3974761962891","2.51219725608826","","","","","","","","TRUE","0.0996861420622498","TRUE","3","34","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.979930917838609","N","N","Y","N","N","N"
"720","40.9872016906738","1.78215885162354","83.1505889892578","79.1996765136719","","","55","10","0.5","16S","4.4","sentino","B11","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","23","FALSE","Target 1","UNKNOWN","SYBR","None","41.3974761962891","2.51219725608826","","","","","","","","TRUE","0.0996861420622498","TRUE","3","37","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.988541653667444","N","N","Y","N","Y","N"
"720","44.0895576477051","0.87213921546936","82.9310989379883","","","","55","10","0.5","16S","4.4","sentino","B12","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","24","FALSE","Target 1","UNKNOWN","SYBR","None","41.3974761962891","2.51219725608826","","","","","","","","TRUE","0.0996861420622498","TRUE","3","38","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.897205017905185","N","N","Y","N","N","N"
"721_WC","40.655517578125","1.57783675193787","79.6903839111328","85.4642562866211","88.4886627197266","69.7373275756836","55","10","0.5","16S","4.4","control_sentino","C1","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","25","FALSE","Target 1","UNKNOWN","SYBR","None","40.655517578125","","","","","","","","","TRUE","0.0996861420622498","TRUE","3","35","Amp","55, 10, 0.5, 16S, 4.4, control_sentino","0.899039277091341","N","N","N","N","Y","N"
"721_WC","Undetermined","0.0747480317950249","60.6091041564941","","","","55","10","0.5","16S","4.4","control_sentino","C2","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","26","FALSE","Target 1","UNKNOWN","SYBR","None","40.655517578125","","","","","","","","","TRUE","0.0996861420622498","TRUE","3","45","No Amp","55, 10, 0.5, 16S, 4.4, control_sentino","0","Y","N","N","N","N","N"
"721_WC","Undetermined","0.0351357012987137","56.5411567687988","","","","55","10","0.5","16S","4.4","control_sentino","C3","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","27","FALSE","Target 1","UNKNOWN","SYBR","None","40.655517578125","","","","","","","","","TRUE","0.0996861420622498","TRUE","3","45","No Amp","55, 10, 0.5, 16S, 4.4, control_sentino","0","Y","N","N","N","N","N"
"726","Undetermined","0.0243085250258446","83.6021728515625","","","","55","10","0.5","16S","4.4","sentino","C4","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","28","FALSE","Target 1","UNKNOWN","SYBR","None","47.2076110839844","","","","","","","","","TRUE","0.0996861420622498","TRUE","3","49","No Amp","55, 10, 0.5, 16S, 4.4, sentino","0","Y","Y","N","N","N","N"
"726","Undetermined","0.0885422825813293","63.9066352844238","","","","55","10","0.5","16S","4.4","sentino","C5","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","29","FALSE","Target 1","UNKNOWN","SYBR","None","47.2076110839844","","","","","","","","","TRUE","0.0996861420622498","TRUE","3","44","No Amp","55, 10, 0.5, 16S, 4.4, sentino","0","Y","N","N","N","N","N"
"726","47.2076110839844","0.244611293077469","83.5324554443359","","","","55","10","0.5","16S","4.4","sentino","C6","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","30","FALSE","Target 1","UNKNOWN","SYBR","None","47.2076110839844","","","","","","","","","TRUE","0.0996861420622498","TRUE","3","42","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.873296692054625","N","N","N","N","N","N"
"727","44.2871627807617","0.747773945331573","84.3069686889648","","","","55","10","0.5","16S","4.4","sentino","C7","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","31","FALSE","Target 1","UNKNOWN","SYBR","None","43.0608024597168","1.1776407957077","","","","","","","","TRUE","0.0996861420622498","TRUE","3","38","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.92127230747548","N","N","Y","N","N","N"
"727","42.956413269043","1.54171752929688","79.9082336425781","","","","55","10","0.5","16S","4.4","sentino","C8","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","32","FALSE","Target 1","UNKNOWN","SYBR","None","43.0608024597168","1.1776407957077","","","","","","","","TRUE","0.0996861420622498","TRUE","3","37","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.961270363176991","N","N","Y","N","N","N"
"727","41.9388313293457","1.52992236614227","79.3126449584961","83.1630020141602","","","55","10","0.5","16S","4.4","sentino","C9","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","33","FALSE","Target 1","UNKNOWN","SYBR","None","43.0608024597168","1.1776407957077","","","","","","","","TRUE","0.0996861420622498","TRUE","3","37","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.984798952187084","N","N","Y","N","Y","N"
"728","Undetermined","-0.00860494654625654","55.0004005432129","","","","55","10","0.5","16S","4.4","sentino","C10","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","34","FALSE","Target 1","UNKNOWN","SYBR","None","","","","","","","","","","TRUE","0.0996861420622498","TRUE","3","49","No Amp","55, 10, 0.5, 16S, 4.4, sentino","0","Y","Y","N","N","N","Y"
"728","Undetermined","0.00141074345447123","55.000301361084","","","","55","10","0.5","16S","4.4","sentino","C11","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","35","FALSE","Target 1","UNKNOWN","SYBR","None","","","","","","","","","","TRUE","0.0996861420622498","TRUE","3","43","No Amp","55, 10, 0.5, 16S, 4.4, sentino","0","Y","N","N","N","N","N"
"728","Undetermined","-0.00505380844697356","55.000301361084","","","","55","10","0.5","16S","4.4","sentino","C12","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","36","FALSE","Target 1","UNKNOWN","SYBR","None","","","","","","","","","","TRUE","0.0996861420622498","TRUE","3","49","No Amp","55, 10, 0.5, 16S, 4.4, sentino","0","Y","Y","N","N","N","N"
"729_WC","40.7625999450684","2.03725743293762","81.5050277709961","84.1995086669922","","","55","10","0.5","16S","4.4","control_sentino","D1","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","37","FALSE","Target 1","UNKNOWN","SYBR","None","44.8867874145508","5.83248472213745","","","","","","","","TRUE","0.0996861420622498","TRUE","3","37","Amp","55, 10, 0.5, 16S, 4.4, control_sentino","0.911171688661647","N","N","Y","N","Y","N"
"729_WC","49.0109786987305","0.158374160528183","80.2402801513672","","","","55","10","0.5","16S","4.4","control_sentino","D2","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","38","FALSE","Target 1","UNKNOWN","SYBR","None","44.8867874145508","5.83248472213745","","","","","","","","TRUE","0.0996861420622498","TRUE","3","44","Inconclusive","55, 10, 0.5, 16S, 4.4, control_sentino","0","Y","N","Y","N","N","N"
"729_WC","Undetermined","-0.0135586783289909","55.0010986328125","","","","55","10","0.5","16S","4.4","control_sentino","D3","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","39","FALSE","Target 1","UNKNOWN","SYBR","None","44.8867874145508","5.83248472213745","","","","","","","","TRUE","0.0996861420622498","TRUE","3","49","No Amp","55, 10, 0.5, 16S, 4.4, control_sentino","0","Y","Y","N","N","N","N"
"730","45.724781036377","0.635858178138733","92.5675048828125","74.1968231201172","58.9612464904785","61.9863586425781","55","10","0.5","16S","4.4","sentino","D4","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","40","FALSE","Target 1","UNKNOWN","SYBR","None","45.724781036377","","","","","","","","","TRUE","0.0996861420622498","TRUE","3","39","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.795340636091156","Y","N","N","N","Y","N"
"730","Undetermined","-0.0105848535895348","55.1657257080078","","","","55","10","0.5","16S","4.4","sentino","D5","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","41","FALSE","Target 1","UNKNOWN","SYBR","None","45.724781036377","","","","","","","","","TRUE","0.0996861420622498","TRUE","3","49","No Amp","55, 10, 0.5, 16S, 4.4, sentino","0","Y","Y","N","N","N","N"
"730","Undetermined","-0.0152720166370273","55.0008010864258","","","","55","10","0.5","16S","4.4","sentino","D6","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","42","FALSE","Target 1","UNKNOWN","SYBR","None","45.724781036377","","","","","","","","","TRUE","0.0996861420622498","TRUE","3","49","No Amp","55, 10, 0.5, 16S, 4.4, sentino","0","Y","Y","N","N","N","N"
"731","Undetermined","0.000262775487499312","55.0004005432129","","","","55","10","0.5","16S","4.4","sentino","D7","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","43","FALSE","Target 1","UNKNOWN","SYBR","None","","","","","","","","","","TRUE","0.0996861420622498","TRUE","3","49","No Amp","55, 10, 0.5, 16S, 4.4, sentino","0","Y","Y","N","N","N","N"
"731","Undetermined","-0.00180254830047488","55.0004005432129","","","","55","10","0.5","16S","4.4","sentino","D8","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","44","FALSE","Target 1","UNKNOWN","SYBR","None","","","","","","","","","","TRUE","0.0996861420622498","TRUE","3","49","No Amp","55, 10, 0.5, 16S, 4.4, sentino","0","Y","Y","N","N","N","N"
"731","Undetermined","0.00183096458204091","55.0004005432129","","","","55","10","0.5","16S","4.4","sentino","D9","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","45","FALSE","Target 1","UNKNOWN","SYBR","None","","","","","","","","","","TRUE","0.0996861420622498","TRUE","3","49","No Amp","55, 10, 0.5, 16S, 4.4, sentino","0","Y","Y","N","N","N","Y"
"732","38.9061813354492","1.95759856700897","83.5480346679688","","","","55","10","0.5","16S","4.4","sentino","D10","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","46","FALSE","Target 1","UNKNOWN","SYBR","None","42.3901443481445","3.03628420829773","","","","","","","","TRUE","0.0996861420622498","TRUE","3","34","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.989415577311629","N","N","Y","N","N","N"
"732","43.7922515869141","0.933213591575623","83.3152160644531","","","","55","10","0.5","16S","4.4","sentino","D11","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","47","FALSE","Target 1","UNKNOWN","SYBR","None","42.3901443481445","3.03628420829773","","","","","","","","TRUE","0.0996861420622498","TRUE","3","39","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.963219911306531","N","N","Y","N","N","N"
"732","44.4720039367676","0.727566361427307","82.9310989379883","","","","55","10","0.5","16S","4.4","sentino","D12","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","48","FALSE","Target 1","UNKNOWN","SYBR","None","42.3901443481445","3.03628420829773","","","","","","","","TRUE","0.0996861420622498","TRUE","3","39","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.919506398246523","N","N","Y","N","N","N"
"733_WC","42.6101951599121","1.4291580915451","86.6740264892578","92.1729507446289","61.4889335632324","66.8228912353516","55","10","0.5","16S","4.4","control_sentino","E1","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","49","FALSE","Target 1","UNKNOWN","SYBR","None","42.4769554138184","0.188429459929466","","","","","","","","TRUE","0.0996861420622498","TRUE","3","38","Amp","55, 10, 0.5, 16S, 4.4, control_sentino","0.876474310373553","N","N","N","N","Y","N"
"733_WC","Undetermined","-0.0095352977514267","57.1447830200195","","","","55","10","0.5","16S","4.4","control_sentino","E2","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","50","FALSE","Target 1","UNKNOWN","SYBR","None","42.4769554138184","0.188429459929466","","","","","","","","TRUE","0.0996861420622498","TRUE","3","49","No Amp","55, 10, 0.5, 16S, 4.4, control_sentino","0","Y","Y","N","N","N","N"
"733_WC","42.3437156677246","1.54735195636749","84.4272003173828","","","","55","10","0.5","16S","4.4","control_sentino","E3","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","51","FALSE","Target 1","UNKNOWN","SYBR","None","42.4769554138184","0.188429459929466","","","","","","","","TRUE","0.0996861420622498","TRUE","3","37","Amp","55, 10, 0.5, 16S, 4.4, control_sentino","0.933135208539638","N","N","N","N","N","N"
"734","Undetermined","-0.00584961147978902","55.6061210632324","","","","55","10","0.5","16S","4.4","sentino","E4","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","52","FALSE","Target 1","UNKNOWN","SYBR","None","","","","","","","","","","TRUE","0.0996861420622498","TRUE","3","49","No Amp","55, 10, 0.5, 16S, 4.4, sentino","0","Y","Y","N","N","N","N"
"734","Undetermined","-0.00895002577453852","55.0008010864258","","","","55","10","0.5","16S","4.4","sentino","E5","2022-10-14_fieldtrip2_16S_plate2","2022-10-14 14:45:03 PM AWST","53","FALSE","Target 1","UNKNOWN","SYBR","None","","","","","","","","","","TRUE","0.0996861420622498","TRUE","3","49","No Amp","55, 10, 0.5, 16S, 4.4, sentino","0","Y","Y","N","N","N","N"
