"filename_fullpath","Sample Name","CT","Delta Rn","Tm1","Tm2","Tm3","Tm4","Annealing_temperature(?C)","Primer_concentration_(uM)","Primer_volume","Primer_name","Sample_volume","Additional_comments","Well Position","filename","run_endtime","Well","Omit","Target Name","Task","Reporter","Quencher","Ct Mean","Ct SD","Quantity","Quantity Mean","Quantity SD","Y-Intercept","R(superscript 2)","Slope","Efficiency","Automatic Ct Threshold","Ct Threshold","Automatic Baseline","Baseline Start","Baseline End","Amp Status","Comments","Cq Conf","CQCONF","EXPFAIL","HIGHSD","OUTLIERRG","MTP","PRFDROP","NOAMP","DRNMIN"
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","637_WC",0,0.0817506462335587,55.1098403930664,NA,NA,NA,55,10,0.5,"16S",4.4,"control_sentino","A11","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",11,FALSE,"Target 1","UNKNOWN","SYBR","None",37.6654624938965,1.17694497108459,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,45,"No Amp","55, 10, 0.5, 16S, 4.4, control_sentino",0,"Y","N","N","N","N",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","637_WC",36.8332366943359,2.30656480789185,81.3923797607422,58.6214942932129,86.1660308837891,77.441764831543,55,10,0.5,"16S",4.4,"control_sentino","A12","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",12,FALSE,"Target 1","UNKNOWN","SYBR","None",37.6654624938965,1.17694497108459,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,32,"Amp","55, 10, 0.5, 16S, 4.4, control_sentino",0.889814230825646,"N","N","Y","N","Y",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","677",40.1486549377441,1.60573971271515,84.0389556884766,NA,NA,NA,55,10,0.5,"16S",4.4,"sentino","B1","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",13,FALSE,"Target 1","UNKNOWN","SYBR","None",40.7829093933105,1.7322918176651,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,35,"Amp","55, 10, 0.5, 16S, 4.4, sentino",0.920019562978453,"N","N","Y","N","N",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","677",42.7429351806641,1.1644434928894,84.4224853515625,NA,NA,NA,55,10,0.5,"16S",4.4,"sentino","B2","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",14,FALSE,"Target 1","UNKNOWN","SYBR","None",40.7829093933105,1.7322918176651,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,37,"Amp","55, 10, 0.5, 16S, 4.4, sentino",0.890511418040854,"N","N","Y","N","N",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","677",39.4571304321289,1.95157074928284,84.4084014892578,NA,NA,NA,55,10,0.5,"16S",4.4,"sentino","B3","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",15,FALSE,"Target 1","UNKNOWN","SYBR","None",40.7829093933105,1.7322918176651,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,33,"Amp","55, 10, 0.5, 16S, 4.4, sentino",0.948636048574746,"N","N","Y","N","N",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","678",41.8992195129395,1.40404176712036,84.4633712768555,82.3746032714844,NA,NA,55,10,0.5,"16S",4.4,"sentino","B4","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",16,FALSE,"Target 1","UNKNOWN","SYBR","None",40.5112724304199,1.28341245651245,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,37,"Amp","55, 10, 0.5, 16S, 4.4, sentino",0.893602523186884,"N","N","Y","N","Y",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","678",40.2671318054199,1.63446128368378,83.4496002197266,NA,NA,NA,55,10,0.5,"16S",4.4,"sentino","B5","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",17,FALSE,"Target 1","UNKNOWN","SYBR","None",40.5112724304199,1.28341245651245,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,34,"Amp","55, 10, 0.5, 16S, 4.4, sentino",0.945090248224859,"N","N","Y","N","N",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","678",39.3674659729004,1.61653196811676,82.9553070068359,NA,NA,NA,55,10,0.5,"16S",4.4,"sentino","B6","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",18,FALSE,"Target 1","UNKNOWN","SYBR","None",40.5112724304199,1.28341245651245,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,34,"Amp","55, 10, 0.5, 16S, 4.4, sentino",0.947177625437972,"N","N","Y","N","N",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","679",47.1841583251953,0.344805836677551,83.4051361083984,NA,NA,NA,55,10,0.5,"16S",4.4,"sentino","B7","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",19,FALSE,"Target 1","UNKNOWN","SYBR","None",42.9672546386719,3.65557909011841,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,41,"Amp","55, 10, 0.5, 16S, 4.4, sentino",0.797969181750681,"Y","N","Y","N","N",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","679",40.6959037780762,1.8555725812912,85.3281097412109,NA,NA,NA,55,10,0.5,"16S",4.4,"sentino","B8","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",20,FALSE,"Target 1","UNKNOWN","SYBR","None",42.9672546386719,3.65557909011841,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,35,"Amp","55, 10, 0.5, 16S, 4.4, sentino",0.968284639327485,"N","N","Y","N","N",NA,NA,NA
