"Sample Name","CT","Delta Rn","Tm1","Tm2","Tm3","Tm4","Annealing_temperature(?C)","Primer_concentration_(uM)","Primer_volume","Primer_name","Sample_volume","Additional_comments","Well Position","filename","run_endtime","Well","Omit","Target Name","Task","Reporter","Quencher","Ct Mean","Ct SD","Quantity","Quantity Mean","Quantity SD","Y-Intercept","R(superscript 2)","Slope","Efficiency","Automatic Ct Threshold","Ct Threshold","Automatic Baseline","Baseline Start","Baseline End","Amp Status","Comments","Cq Conf","CQCONF","HIGHSD","OUTLIERRG","MTP"
"729_WC","35.7576560974121","2.402503490448","81.5386505126953","","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","D3","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","39","FALSE","Target 1","UNKNOWN","SYBR","None","34.5105514526367","1.44991993904114","","","","","","","","TRUE","0.0952924585079589","TRUE","3","31","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.983110465236735","N","Y","N","N"
"730","37.7748870849609","2.11811327934265","81.5386505126953","","","","65","10","0.5","Lutjanidae1","4.4","sentino","D4","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","40","FALSE","Target 1","UNKNOWN","SYBR","None","41.8717842102051","3.69054937362671","","","","","","","","TRUE","0.0952924585079589","TRUE","3","33","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.986705186225942","N","Y","N","N"
"730","42.9044914245605","1.42060506343842","81.2933883666992","","","","65","10","0.5","Lutjanidae1","4.4","sentino","D5","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","41","FALSE","Target 1","UNKNOWN","SYBR","None","41.8717842102051","3.69054937362671","","","","","","","","TRUE","0.0952924585079589","TRUE","3","39","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.85734399674428","N","Y","N","N"
"730","44.9359741210938","0.747453153133392","81.6214447021484","","","","65","10","0.5","Lutjanidae1","4.4","sentino","D6","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","42","FALSE","Target 1","UNKNOWN","SYBR","None","41.8717842102051","3.69054937362671","","","","","","","","TRUE","0.0952924585079589","TRUE","3","39","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.899269577860649","N","Y","N","N"
"731","43.4479827880859","1.52731239795685","90.7199020385742","81.745475769043","","","65","10","0.5","Lutjanidae1","4.4","sentino","D7","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","43","FALSE","Target 1","UNKNOWN","SYBR","None","37.6867599487305","5.00661611557007","","","","","","","","TRUE","0.0952924585079589","TRUE","3","38","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.96437102542951","N","Y","N","Y"
"731","34.3908920288086","2.50526237487793","82.4568634033203","","","","65","10","0.5","Lutjanidae1","4.4","sentino","D8","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","44","FALSE","Target 1","UNKNOWN","SYBR","None","37.6867599487305","5.00661611557007","","","","","","","","TRUE","0.0952924585079589","TRUE","3","30","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.969340702017786","N","Y","N","N"
"731","35.2214050292969","2.3749725818634","81.5498352050781","67.4115753173828","","","65","10","0.5","Lutjanidae1","4.4","sentino","D9","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","45","FALSE","Target 1","UNKNOWN","SYBR","None","37.6867599487305","5.00661611557007","","","","","","","","TRUE","0.0952924585079589","TRUE","3","31","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.980390786643502","N","Y","N","Y"
"732","37.3071975708008","2.03193831443787","82.1526336669922","","","","65","10","0.5","Lutjanidae1","4.4","sentino","D10","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","46","FALSE","Target 1","UNKNOWN","SYBR","None","36.9318618774414","2.16020584106445","","","","","","","","TRUE","0.0952924585079589","TRUE","3","32","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.988211108575392","N","Y","N","N"
"732","34.608585357666","2.0265941619873","82.7160186767578","","","","65","10","0.5","Lutjanidae1","4.4","sentino","D11","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","47","FALSE","Target 1","UNKNOWN","SYBR","None","36.9318618774414","2.16020584106445","","","","","","","","TRUE","0.0952924585079589","TRUE","3","30","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.980351654934578","N","Y","N","N"
"732","38.8798065185547","2.12840270996094","81.6224822998047","","","","65","10","0.5","Lutjanidae1","4.4","sentino","D12","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","48","FALSE","Target 1","UNKNOWN","SYBR","None","36.9318618774414","2.16020584106445","","","","","","","","TRUE","0.0952924585079589","TRUE","3","33","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.919818296074412","N","Y","N","N"
"733_WC","34.2075729370117","2.03621935844421","82.7509918212891","","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","E1","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","49","FALSE","Target 1","UNKNOWN","SYBR","None","31.9413928985596","2.02560067176819","","","","","","","","TRUE","0.0952924585079589","TRUE","3","28","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.929123522409461","N","Y","N","N"
"733_WC","30.3069248199463","2.06275677680969","82.6963806152344","","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","E2","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","50","FALSE","Target 1","UNKNOWN","SYBR","None","31.9413928985596","2.02560067176819","","","","","","","","TRUE","0.0952924585079589","TRUE","3","25","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.983124068040634","N","Y","N","N"
"733_WC","31.3096828460693","2.06746482849121","82.5791473388672","91.5055236816406","67.7383499145508","72.1194000244141","65","10","0.5","Lutjanidae1","4.4","control_sentino","E3","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","51","FALSE","Target 1","UNKNOWN","SYBR","None","31.9413928985596","2.02560067176819","","","","","","","","TRUE","0.0952924585079589","TRUE","3","26","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.981584924353163","N","Y","N","Y"
"734","37.5418472290039","2.01487183570862","81.0457763671875","","","","65","10","0.5","Lutjanidae1","4.4","sentino","E4","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","52","FALSE","Target 1","UNKNOWN","SYBR","None","37.0998420715332","4.55808067321777","","","","","","","","TRUE","0.0952924585079589","TRUE","3","33","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.979666667452672","N","Y","N","N"
"734","32.3368606567383","1.9899400472641","81.6761169433594","78.3956069946289","66.4217529296875","93.1578979492188","65","10","0.5","Lutjanidae1","4.4","sentino","E5","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","53","FALSE","Target 1","UNKNOWN","SYBR","None","37.0998420715332","4.55808067321777","","","","","","","","TRUE","0.0952924585079589","TRUE","3","28","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.953128608398607","N","Y","N","Y"
"734","41.4208183288574","1.63516902923584","81.0746917724609","","","","65","10","0.5","Lutjanidae1","4.4","sentino","E6","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","54","FALSE","Target 1","UNKNOWN","SYBR","None","37.0998420715332","4.55808067321777","","","","","","","","TRUE","0.0952924585079589","TRUE","3","37","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.97406028370524","N","Y","N","N"
"735","43.1375885009766","1.36402499675751","81.9643630981445","","","","65","10","0.5","Lutjanidae1","4.4","sentino","E7","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","55","FALSE","Target 1","UNKNOWN","SYBR","None","40.1956939697266","4.27902793884277","","","","","","","","TRUE","0.0952924585079589","TRUE","3","38","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.866063686103323","N","Y","N","N"
"735","35.286865234375","2.30084156990051","82.0190811157227","","","","65","10","0.5","Lutjanidae1","4.4","sentino","E8","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","56","FALSE","Target 1","UNKNOWN","SYBR","None","40.1956939697266","4.27902793884277","","","","","","","","TRUE","0.0952924585079589","TRUE","3","31","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.947132582800287","N","Y","N","N"
"735","42.1626243591309","1.81710028648376","81.9882354736328","","","","65","10","0.5","Lutjanidae1","4.4","sentino","E9","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","57","FALSE","Target 1","UNKNOWN","SYBR","None","40.1956939697266","4.27902793884277","","","","","","","","TRUE","0.0952924585079589","TRUE","3","37","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.941616203074902","N","Y","N","N"
"736","38.4448509216309","1.62240839004517","80.3990478515625","","","","65","10","0.5","Lutjanidae1","4.4","sentino","E10","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","58","FALSE","Target 1","UNKNOWN","SYBR","None","38.8307647705078","1.08792161941528","","","","","","","","TRUE","0.0952924585079589","TRUE","3","33","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.962160274267545","N","Y","N","N"
"736","37.9884071350098","2.00243854522705","82.6066665649414","","","","65","10","0.5","Lutjanidae1","4.4","sentino","E11","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","59","FALSE","Target 1","UNKNOWN","SYBR","None","38.8307647705078","1.08792161941528","","","","","","","","TRUE","0.0952924585079589","TRUE","3","33","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.959981430051638","N","Y","N","N"
"736","40.0590362548828","1.6595710515976","79.8181610107422","","","","65","10","0.5","Lutjanidae1","4.4","sentino","E12","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","60","FALSE","Target 1","UNKNOWN","SYBR","None","38.8307647705078","1.08792161941528","","","","","","","","TRUE","0.0952924585079589","TRUE","3","35","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.929261023211792","N","Y","N","N"
"737_WC","35.5638999938965","2.48336815834045","83.0240707397461","","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","F1","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","61","FALSE","Target 1","UNKNOWN","SYBR","None","36.3055458068848","4.00478363037109","","","","","","","","TRUE","0.0952924585079589","TRUE","3","32","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.927020271367017","N","Y","N","N"
"737_WC","32.7234230041504","2.42822003364563","83.13330078125","","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","F2","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","62","FALSE","Target 1","UNKNOWN","SYBR","None","36.3055458068848","4.00478363037109","","","","","","","","TRUE","0.0952924585079589","TRUE","3","28","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.978316198852598","N","Y","N","N"
"737_WC","40.6293106079102","2.21355247497559","81.2648315429688","","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","F3","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","63","FALSE","Target 1","UNKNOWN","SYBR","None","36.3055458068848","4.00478363037109","","","","","","","","TRUE","0.0952924585079589","TRUE","3","34","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.978370983967339","N","Y","N","N"
"738","39.8636016845703","1.95408535003662","81.3743591308594","86.4125595092773","","","65","10","0.5","Lutjanidae1","4.4","sentino","F4","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","64","FALSE","Target 1","UNKNOWN","SYBR","None","36.8936805725098","2.58289289474487","","","","","","","","TRUE","0.0952924585079589","TRUE","3","35","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.987852096825064","N","Y","N","Y"
"738","35.1720314025879","2.60941815376282","82.3868942260742","","","","65","10","0.5","Lutjanidae1","4.4","sentino","F5","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","65","FALSE","Target 1","UNKNOWN","SYBR","None","36.8936805725098","2.58289289474487","","","","","","","","TRUE","0.0952924585079589","TRUE","3","30","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.985498147232905","N","Y","N","N"
"738","35.6454162597656","2.69732022285461","82.058837890625","","","","65","10","0.5","Lutjanidae1","4.4","sentino","F6","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","66","FALSE","Target 1","UNKNOWN","SYBR","None","36.8936805725098","2.58289289474487","","","","","","","","TRUE","0.0952924585079589","TRUE","3","30","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.952736536492644","N","Y","N","N"
"739","38.3584327697754","1.72368538379669","81.0888061523438","","","","65","10","0.5","Lutjanidae1","4.4","sentino","F7","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","67","FALSE","Target 1","UNKNOWN","SYBR","None","35.7657051086426","4.22861242294312","","","","","","","","TRUE","0.0952924585079589","TRUE","3","34","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.951551065152757","N","Y","N","N"
"739","30.8861198425293","1.84741926193237","81.8001937866211","77.6413116455078","86.7799072265625","","65","10","0.5","Lutjanidae1","4.4","sentino","F8","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","68","FALSE","Target 1","UNKNOWN","SYBR","None","35.7657051086426","4.22861242294312","","","","","","","","TRUE","0.0952924585079589","TRUE","3","26","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.98041801385648","N","Y","N","Y"
"739","38.0525665283203","1.75387907028198","82.426628112793","","","","65","10","0.5","Lutjanidae1","4.4","sentino","F9","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 14:00:17 PM AWST","69","FALSE","Target 1","UNKNOWN","SYBR","None","35.7657051086426","4.22861242294312","","","","","","","","TRUE","0.0952924585079589","TRUE","3","33","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.970013568337148","N","Y","N","N"
